Entidad,B4-A-Muy pertinente-Recuento,B4-A-Muy pertinente-% del N de fila,B4-A-Muy pertinente-% de N columnas,B4-A-Pertinente-Recuento,B4-A-Pertinente-% del N de fila,B4-A-Pertinente-% de N columnas,B4-A-Poco pertinente-Recuento,B4-A-Poco pertinente-% del N de fila,B4-A-Poco pertinente-% de N columnas,B4-A-Nada pertinente-Recuento,B4-A-Nada pertinente-% del N de fila,B4-A-Nada pertinente-% de N columnas,B4-B-Muy pertinente-Recuento,B4-B-Muy pertinente-% del N de fila,B4-B-Muy pertinente-% de N columnas,B4-B-Pertinente-Recuento,B4-B-Pertinente-% del N de fila,B4-B-Pertinente-% de N columnas,B4-B-Poco pertinente-Recuento,B4-B-Poco pertinente-% del N de fila,B4-B-Poco pertinente-% de N columnas,B4-B-Nada pertinente-Recuento,B4-B-Nada pertinente-% del N de fila,B4-B-Nada pertinente-% de N columnas,B4-C-Muy pertinente-Recuento,B4-C-Muy pertinente-% del N de fila,B4-C-Muy pertinente-% de N columnas,B4-C-Pertinente-Recuento,B4-C-Pertinente-% del N de fila,B4-C-Pertinente-% de N columnas,B4-C-Poco pertinente-Recuento,B4-C-Poco pertinente-% del N de fila,B4-C-Poco pertinente-% de N columnas,B4-C-Nada pertinente-Recuento,B4-C-Nada pertinente-% del N de fila,B4-C-Nada pertinente-% de N columnas,B4-D-Muy pertinente-Recuento,B4-D-Muy pertinente-% del N de fila,B4-D-Muy pertinente-% de N columnas,B4-D-Pertinente-Recuento,B4-D-Pertinente-% del N de fila,B4-D-Pertinente-% de N columnas,B4-D-Poco pertinente-Recuento,B4-D-Poco pertinente-% del N de fila,B4-D-Poco pertinente-% de N columnas,B4-D-Nada pertinente-Recuento,B4-D-Nada pertinente-% del N de fila,B4-D-Nada pertinente-% de N columnas,B4-E-Muy pertinente-Recuento,B4-E-Muy pertinente-% del N de fila,B4-E-Muy pertinente-% de N columnas,B4-E-Pertinente-Recuento,B4-E-Pertinente-% del N de fila,B4-E-Pertinente-% de N columnas,B4-E-Poco pertinente-Recuento,B4-E-Poco pertinente-% del N de fila,B4-E-Poco pertinente-% de N columnas,B4-E-Nada pertinente-Recuento,B4-E-Nada pertinente-% del N de fila,B4-E-Nada pertinente-% de N columnas,B4-F-Muy pertinente-Recuento,B4-F-Muy pertinente-% del N de fila,B4-F-Muy pertinente-% de N columnas,B4-F-Pertinente-Recuento,B4-F-Pertinente-% del N de fila,B4-F-Pertinente-% de N columnas,B4-F-Poco pertinente-Recuento,B4-F-Poco pertinente-% del N de fila,B4-F-Poco pertinente-% de N columnas,B4-F-Nada pertinente-Recuento,B4-F-Nada pertinente-% del N de fila,B4-F-Nada pertinente-% de N columnas,B4-G-Muy pertinente-Recuento,B4-G-Muy pertinente-% del N de fila,B4-G-Muy pertinente-% de N columnas,B4-G-Pertinente-Recuento,B4-G-Pertinente-% del N de fila,B4-G-Pertinente-% de N columnas,B4-G-Poco pertinente-Recuento,B4-G-Poco pertinente-% del N de fila,B4-G-Poco pertinente-% de N columnas,B4-G-Nada pertinente-Recuento,B4-G-Nada pertinente-% del N de fila,B4-G-Nada pertinente-% de N columnas
VERACRUZ,242.000,0.381,0.024,358.000,0.564,0.021,28.000,0.044,0.015,7.000,0.011,0.039,215.000,0.339,0.022,369.000,0.581,0.021,47.000,0.074,0.022,4.000,0.006,0.022,186.000,0.293,0.023,398.000,0.627,0.022,50.000,0.079,0.019,1.000,0.002,0.005,154.000,0.243,0.023,415.000,0.654,0.022,61.000,0.096,0.019,5.000,0.008,0.020,149.000,0.235,0.024,395.000,0.622,0.022,88.000,0.139,0.018,3.000,0.005,0.006,151.000,0.238,0.024,396.000,0.624,0.022,80.000,0.126,0.019,8.000,0.013,0.017,162.000,0.255,0.025,387.000,0.609,0.022,79.000,0.124,0.017,7.000,0.011,0.013
YUCATÁN,253.000,0.359,0.025,395.000,0.560,0.023,50.000,0.071,0.026,7.000,0.010,0.039,235.000,0.333,0.024,406.000,0.576,0.023,58.000,0.082,0.027,6.000,0.009,0.034,197.000,0.279,0.024,421.000,0.597,0.023,81.000,0.115,0.031,6.000,0.009,0.032,161.000,0.228,0.024,432.000,0.613,0.022,102.000,0.145,0.031,10.000,0.014,0.040,125.000,0.177,0.020,403.000,0.572,0.023,157.000,0.223,0.031,20.000,0.028,0.037,134.000,0.190,0.021,415.000,0.589,0.023,140.000,0.199,0.032,16.000,0.023,0.033,131.000,0.186,0.020,409.000,0.580,0.023,140.000,0.199,0.030,25.000,0.035,0.048
ZACATECAS,327.000,0.294,0.032,690.000,0.621,0.040,88.000,0.079,0.047,7.000,0.006,0.039,306.000,0.275,0.032,707.000,0.636,0.040,93.000,0.084,0.043,6.000,0.005,0.034,277.000,0.249,0.034,707.000,0.636,0.038,118.000,0.106,0.045,10.000,0.009,0.053,225.000,0.202,0.033,737.000,0.663,0.038,136.000,0.122,0.042,14.000,0.013,0.056,206.000,0.185,0.034,673.000,0.605,0.038,204.000,0.183,0.041,29.000,0.026,0.054,218.000,0.196,0.034,682.000,0.613,0.037,185.000,0.166,0.043,27.000,0.024,0.056,233.000,0.210,0.036,650.000,0.585,0.036,204.000,0.183,0.044,25.000,0.022,0.048
Hombre,4318.000,0.347,0.420,7235.000,0.581,0.422,808.000,0.065,0.428,82.000,0.007,0.458,4024.000,0.323,0.418,7416.000,0.596,0.423,917.000,0.074,0.424,85.000,0.007,0.475,3396.000,0.273,0.413,7851.000,0.631,0.425,1121.000,0.090,0.425,74.000,0.006,0.396,2832.000,0.228,0.419,8098.000,0.651,0.421,1397.000,0.112,0.428,116.000,0.009,0.464,2651.000,0.213,0.434,7551.000,0.607,0.423,2016.000,0.162,0.402,225.000,0.018,0.417,2803.000,0.225,0.439,7798.000,0.627,0.426,1640.000,0.132,0.380,202.000,0.016,0.419,2804.000,0.225,0.437,7535.000,0.606,0.421,1860.000,0.149,0.399,243.000,0.020,0.462
Mujer,5957.000,0.349,0.580,9920.000,0.582,0.578,1082.000,0.063,0.572,97.000,0.006,0.542,5599.000,0.328,0.582,10116.000,0.593,0.577,1245.000,0.073,0.576,94.000,0.006,0.525,4821.000,0.283,0.587,10606.000,0.622,0.575,1515.000,0.089,0.575,113.000,0.007,0.604,3931.000,0.230,0.581,11123.000,0.652,0.579,1867.000,0.109,0.572,134.000,0.008,0.536,3453.000,0.202,0.566,10294.000,0.604,0.577,2994.000,0.176,0.598,314.000,0.018,0.583,3578.000,0.210,0.561,10517.000,0.617,0.574,2679.000,0.157,0.620,280.000,0.016,0.581,3617.000,0.212,0.563,10350.000,0.607,0.579,2803.000,0.164,0.601,283.000,0.017,0.538
18 a 20 años,86.000,0.377,0.008,128.000,0.561,0.007,12.000,0.053,0.006,2.000,0.009,0.011,82.000,0.360,0.009,128.000,0.561,0.007,18.000,0.079,0.008,0.000,0.000,0.000,72.000,0.316,0.009,137.000,0.601,0.007,19.000,0.083,0.007,0.000,0.000,0.000,64.000,0.281,0.009,134.000,0.588,0.007,29.000,0.127,0.009,1.000,0.004,0.004,63.000,0.276,0.010,132.000,0.579,0.007,31.000,0.136,0.006,2.000,0.009,0.004,66.000,0.289,0.010,132.000,0.579,0.007,28.000,0.123,0.006,2.000,0.009,0.004,67.000,0.294,0.010,128.000,0.561,0.007,29.000,0.127,0.006,4.000,0.018,0.008
21 a 30 años,1395.000,0.388,0.136,1969.000,0.548,0.115,204.000,0.057,0.108,24.000,0.007,0.134,1279.000,0.356,0.133,2007.000,0.559,0.114,286.000,0.080,0.132,20.000,0.006,0.112,1148.000,0.320,0.140,2095.000,0.583,0.114,320.000,0.089,0.121,29.000,0.008,0.155,945.000,0.263,0.140,2190.000,0.610,0.114,432.000,0.120,0.132,25.000,0.007,0.100,888.000,0.247,0.145,2038.000,0.567,0.114,597.000,0.166,0.119,69.000,0.019,0.128,924.000,0.257,0.145,2072.000,0.577,0.113,539.000,0.150,0.125,57.000,0.016,0.118,932.000,0.259,0.145,2079.000,0.579,0.116,525.000,0.146,0.113,56.000,0.016,0.106
31 a 40 años,3245.000,0.338,0.316,5591.000,0.583,0.326,675.000,0.070,0.357,77.000,0.008,0.430,3011.000,0.314,0.313,5774.000,0.602,0.329,734.000,0.077,0.340,68.000,0.007,0.380,2583.000,0.269,0.314,6036.000,0.630,0.327,889.000,0.093,0.337,79.000,0.008,0.422,2057.000,0.215,0.304,6284.000,0.655,0.327,1128.000,0.118,0.346,119.000,0.012,0.476,1875.000,0.196,0.307,5660.000,0.590,0.317,1829.000,0.191,0.365,224.000,0.023,0.416,1918.000,0.200,0.301,5921.000,0.618,0.323,1550.000,0.162,0.359,199.000,0.021,0.413,1904.000,0.199,0.297,5781.000,0.603,0.323,1687.000,0.176,0.362,215.000,0.022,0.409
41 a 50 años,3066.000,0.328,0.298,5565.000,0.596,0.324,657.000,0.070,0.348,54.000,0.006,0.302,2875.000,0.308,0.299,5673.000,0.607,0.324,732.000,0.078,0.339,61.000,0.007,0.341,2442.000,0.261,0.297,5988.000,0.641,0.324,861.000,0.092,0.327,50.000,0.005,0.267,2017.000,0.216,0.298,6230.000,0.667,0.324,1020.000,0.109,0.313,74.000,0.008,0.296,1773.000,0.190,0.290,5806.000,0.622,0.325,1589.000,0.170,0.317,173.000,0.019,0.321,1865.000,0.200,0.292,5948.000,0.637,0.325,1370.000,0.147,0.317,157.000,0.017,0.326,1874.000,0.201,0.292,5789.000,0.620,0.324,1508.000,0.161,0.323,168.000,0.018,0.319
51 a 60 años,2090.000,0.363,0.203,3355.000,0.583,0.196,295.000,0.051,0.156,18.000,0.003,0.101,1998.000,0.347,0.208,3394.000,0.589,0.194,341.000,0.059,0.158,25.000,0.004,0.140,1655.000,0.287,0.201,3586.000,0.623,0.194,491.000,0.085,0.186,26.000,0.005,0.139,1404.000,0.244,0.208,3754.000,0.652,0.195,574.000,0.100,0.176,26.000,0.005,0.104,1235.000,0.214,0.202,3607.000,0.626,0.202,855.000,0.148,0.171,61.000,0.011,0.113,1336.000,0.232,0.209,3630.000,0.630,0.198,739.000,0.128,0.171,53.000,0.009,0.110,1353.000,0.235,0.211,3523.000,0.612,0.197,813.000,0.141,0.174,69.000,0.012,0.131
