Entidad,B5-A-Muy adecuado-Recuento,B5-A-Muy adecuado-% del N de fila,B5-A-Muy adecuado-% de N columnas,B5-A-Adecuado-Recuento,B5-A-Adecuado-% del N de fila,B5-A-Adecuado-% de N columnas,B5-A-Poco adecuado-Recuento,B5-A-Poco adecuado-% del N de fila,B5-A-Poco adecuado-% de N columnas,B5-A-Nada adecuado-Recuento,B5-A-Nada adecuado-% del N de fila,B5-A-Nada adecuado-% de N columnas,B5-B-Muy adecuado-Recuento,B5-B-Muy adecuado-% del N de fila,B5-B-Muy adecuado-% de N columnas,B5-B-Adecuado-Recuento,B5-B-Adecuado-% del N de fila,B5-B-Adecuado-% de N columnas,B5-B-Poco adecuado-Recuento,B5-B-Poco adecuado-% del N de fila,B5-B-Poco adecuado-% de N columnas,B5-B-Nada adecuado-Recuento,B5-B-Nada adecuado-% del N de fila,B5-B-Nada adecuado-% de N columnas,B5-C-Muy adecuado-Recuento,B5-C-Muy adecuado-% del N de fila,B5-C-Muy adecuado-% de N columnas,B5-C-Adecuado-Recuento,B5-C-Adecuado-% del N de fila,B5-C-Adecuado-% de N columnas,B5-C-Poco adecuado-Recuento,B5-C-Poco adecuado-% del N de fila,B5-C-Poco adecuado-% de N columnas,B5-C-Nada adecuado-Recuento,B5-C-Nada adecuado-% del N de fila,B5-C-Nada adecuado-% de N columnas,B5-D-Muy adecuado-Recuento,B5-D-Muy adecuado-% del N de fila,B5-D-Muy adecuado-% de N columnas,B5-D-Adecuado-Recuento,B5-D-Adecuado-% del N de fila,B5-D-Adecuado-% de N columnas,B5-D-Poco adecuado-Recuento,B5-D-Poco adecuado-% del N de fila,B5-D-Poco adecuado-% de N columnas,B5-D-Nada adecuado-Recuento,B5-D-Nada adecuado-% del N de fila,B5-D-Nada adecuado-% de N columnas,B5-E-Muy adecuado-Recuento,B5-E-Muy adecuado-% del N de fila,B5-E-Muy adecuado-% de N columnas,B5-E-Adecuado-Recuento,B5-E-Adecuado-% del N de fila,B5-E-Adecuado-% de N columnas,B5-E-Poco adecuado-Recuento,B5-E-Poco adecuado-% del N de fila,B5-E-Poco adecuado-% de N columnas,B5-E-Nada adecuado-Recuento,B5-E-Nada adecuado-% del N de fila,B5-E-Nada adecuado-% de N columnas,B5-F-Muy adecuado-Recuento,B5-F-Muy adecuado-% del N de fila,B5-F-Muy adecuado-% de N columnas,B5-F-Adecuado-Recuento,B5-F-Adecuado-% del N de fila,B5-F-Adecuado-% de N columnas,B5-F-Poco adecuado-Recuento,B5-F-Poco adecuado-% del N de fila,B5-F-Poco adecuado-% de N columnas,B5-F-Nada adecuado-Recuento,B5-F-Nada adecuado-% del N de fila,B5-F-Nada adecuado-% de N columnas,B5-G-Muy adecuado-Recuento,B5-G-Muy adecuado-% del N de fila,B5-G-Muy adecuado-% de N columnas,B5-G-Adecuado-Recuento,B5-G-Adecuado-% del N de fila,B5-G-Adecuado-% de N columnas,B5-G-Poco adecuado-Recuento,B5-G-Poco adecuado-% del N de fila,B5-G-Poco adecuado-% de N columnas,B5-G-Nada adecuado-Recuento,B5-G-Nada adecuado-% del N de fila,B5-G-Nada adecuado-% de N columnas,B5-H-Muy adecuado-Recuento,B5-H-Muy adecuado-% del N de fila,B5-H-Muy adecuado-% de N columnas,B5-H-Adecuado-Recuento,B5-H-Adecuado-% del N de fila,B5-H-Adecuado-% de N columnas,B5-H-Poco adecuado-Recuento,B5-H-Poco adecuado-% del N de fila,B5-H-Poco adecuado-% de N columnas,B5-H-Nada adecuado-Recuento,B5-H-Nada adecuado-% del N de fila,B5-H-Nada adecuado-% de N columnas
SAN LUIS POTOSÍ,89.000,0.527,0.038,79.000,0.467,0.044,1.000,0.006,0.013,0.000,0.000,0.000,78.000,0.462,0.035,85.000,0.503,0.044,6.000,0.036,0.067,0.000,0.000,0.000,73.000,0.432,0.033,87.000,0.515,0.051,7.000,0.041,0.025,2.000,0.012,0.037,94.000,0.556,0.038,75.000,0.444,0.045,0.000,0.000,0.000,0.000,0.000,0.000,83.000,0.491,0.035,83.000,0.491,0.048,3.000,0.018,0.019,0.000,0.000,0.000,108.000,0.639,0.038,60.000,0.355,0.043,1.000,0.006,0.019,0.000,0.000,0.000,91.000,0.538,0.037,72.000,0.426,0.043,6.000,0.036,0.056,0.000,0.000,0.000,74.000,0.438,0.035,84.000,0.497,0.045,10.000,0.059,0.040,1.000,0.006,0.032
SINALOA,125.000,0.654,0.053,63.000,0.330,0.035,3.000,0.016,0.038,0.000,0.000,0.000,119.000,0.623,0.053,70.000,0.366,0.037,2.000,0.010,0.022,0.000,0.000,0.000,114.000,0.597,0.051,67.000,0.351,0.039,9.000,0.047,0.032,1.000,0.005,0.019,127.000,0.665,0.051,62.000,0.325,0.037,2.000,0.010,0.019,0.000,0.000,0.000,120.000,0.628,0.051,68.000,0.356,0.039,3.000,0.016,0.019,0.000,0.000,0.000,143.000,0.749,0.051,47.000,0.246,0.034,1.000,0.005,0.019,0.000,0.000,0.000,129.000,0.675,0.052,58.000,0.304,0.035,4.000,0.021,0.037,0.000,0.000,0.000,104.000,0.545,0.049,81.000,0.424,0.044,6.000,0.031,0.024,0.000,0.000,0.000
SONORA,100.000,0.680,0.042,43.000,0.293,0.024,3.000,0.020,0.038,1.000,0.007,0.250,88.000,0.599,0.039,54.000,0.367,0.028,4.000,0.027,0.044,1.000,0.007,0.250,86.000,0.585,0.039,53.000,0.361,0.031,6.000,0.041,0.021,2.000,0.014,0.037,94.000,0.639,0.038,49.000,0.333,0.030,3.000,0.020,0.028,1.000,0.007,0.083,99.000,0.673,0.042,43.000,0.293,0.025,4.000,0.027,0.025,1.000,0.007,0.077,102.000,0.694,0.036,44.000,0.299,0.032,0.000,0.000,0.000,1.000,0.007,0.100,100.000,0.680,0.040,41.000,0.279,0.025,5.000,0.034,0.047,1.000,0.007,0.333,86.000,0.585,0.041,53.000,0.361,0.029,7.000,0.048,0.028,1.000,0.007,0.032
TABASCO,73.000,0.562,0.031,53.000,0.408,0.029,4.000,0.031,0.050,0.000,0.000,0.000,67.000,0.515,0.030,61.000,0.469,0.032,2.000,0.015,0.022,0.000,0.000,0.000,72.000,0.554,0.032,49.000,0.377,0.029,7.000,0.054,0.025,2.000,0.015,0.037,70.000,0.538,0.028,57.000,0.438,0.034,3.000,0.023,0.028,0.000,0.000,0.000,72.000,0.554,0.031,54.000,0.415,0.031,3.000,0.023,0.019,1.000,0.008,0.077,89.000,0.685,0.032,40.000,0.308,0.029,1.000,0.008,0.019,0.000,0.000,0.000,77.000,0.592,0.031,51.000,0.392,0.031,2.000,0.015,0.019,0.000,0.000,0.000,68.000,0.523,0.032,58.000,0.446,0.031,3.000,0.023,0.012,1.000,0.008,0.032
TAMAULIPAS,75.000,0.497,0.032,76.000,0.503,0.042,0.000,0.000,0.000,0.000,0.000,0.000,72.000,0.477,0.032,74.000,0.490,0.039,5.000,0.033,0.056,0.000,0.000,0.000,69.000,0.457,0.031,63.000,0.417,0.037,14.000,0.093,0.049,5.000,0.033,0.093,84.000,0.556,0.034,65.000,0.430,0.039,0.000,0.000,0.000,2.000,0.013,0.167,75.000,0.497,0.032,71.000,0.470,0.041,5.000,0.033,0.031,0.000,0.000,0.000,97.000,0.642,0.035,49.000,0.325,0.035,5.000,0.033,0.094,0.000,0.000,0.000,88.000,0.583,0.035,60.000,0.397,0.036,3.000,0.020,0.028,0.000,0.000,0.000,73.000,0.483,0.034,66.000,0.437,0.036,11.000,0.073,0.045,1.000,0.007,0.032
TLAXCALA,77.000,0.490,0.033,78.000,0.497,0.043,2.000,0.013,0.025,0.000,0.000,0.000,68.000,0.433,0.030,86.000,0.548,0.045,3.000,0.019,0.033,0.000,0.000,0.000,73.000,0.465,0.033,70.000,0.446,0.041,13.000,0.083,0.046,1.000,0.006,0.019,87.000,0.554,0.035,63.000,0.401,0.038,6.000,0.038,0.056,1.000,0.006,0.083,87.000,0.554,0.037,61.000,0.389,0.035,8.000,0.051,0.049,1.000,0.006,0.077,92.000,0.586,0.033,64.000,0.408,0.046,1.000,0.006,0.019,0.000,0.000,0.000,84.000,0.535,0.034,71.000,0.452,0.043,2.000,0.013,0.019,0.000,0.000,0.000,72.000,0.459,0.034,76.000,0.484,0.041,8.000,0.051,0.032,1.000,0.006,0.032
VERACRUZ,55.000,0.491,0.023,53.000,0.473,0.029,4.000,0.036,0.050,0.000,0.000,0.000,53.000,0.473,0.024,54.000,0.482,0.028,5.000,0.045,0.056,0.000,0.000,0.000,52.000,0.464,0.023,48.000,0.429,0.028,11.000,0.098,0.039,1.000,0.009,0.019,69.000,0.616,0.028,38.000,0.339,0.023,5.000,0.045,0.047,0.000,0.000,0.000,62.000,0.554,0.026,46.000,0.411,0.027,4.000,0.036,0.025,0.000,0.000,0.000,74.000,0.661,0.026,36.000,0.321,0.026,2.000,0.018,0.038,0.000,0.000,0.000,57.000,0.509,0.023,54.000,0.482,0.033,1.000,0.009,0.009,0.000,0.000,0.000,53.000,0.473,0.025,49.000,0.438,0.026,10.000,0.089,0.040,0.000,0.000,0.000
YUCATÁN,56.000,0.554,0.024,42.000,0.416,0.023,3.000,0.030,0.038,0.000,0.000,0.000,53.000,0.525,0.024,45.000,0.446,0.024,3.000,0.030,0.033,0.000,0.000,0.000,52.000,0.515,0.023,41.000,0.406,0.024,4.000,0.040,0.014,4.000,0.040,0.074,51.000,0.505,0.021,45.000,0.446,0.027,5.000,0.050,0.047,0.000,0.000,0.000,53.000,0.525,0.023,44.000,0.436,0.025,4.000,0.040,0.025,0.000,0.000,0.000,61.000,0.604,0.022,37.000,0.366,0.027,3.000,0.030,0.057,0.000,0.000,0.000,56.000,0.554,0.023,43.000,0.426,0.026,2.000,0.020,0.019,0.000,0.000,0.000,45.000,0.446,0.021,49.000,0.485,0.026,7.000,0.069,0.028,0.000,0.000,0.000
ZACATECAS,95.000,0.508,0.040,88.000,0.471,0.049,3.000,0.016,0.038,1.000,0.005,0.250,87.000,0.465,0.039,96.000,0.513,0.050,4.000,0.021,0.044,0.000,0.000,0.000,94.000,0.503,0.042,78.000,0.417,0.046,13.000,0.070,0.046,2.000,0.011,0.037,100.000,0.535,0.040,82.000,0.439,0.049,5.000,0.027,0.047,0.000,0.000,0.000,94.000,0.503,0.040,83.000,0.444,0.048,9.000,0.048,0.056,1.000,0.005,0.077,114.000,0.610,0.041,69.000,0.369,0.050,4.000,0.021,0.075,0.000,0.000,0.000,111.000,0.594,0.045,74.000,0.396,0.045,2.000,0.011,0.019,0.000,0.000,0.000,88.000,0.471,0.042,85.000,0.455,0.046,13.000,0.070,0.053,1.000,0.005,0.032
Hombre,1009.000,0.545,0.428,806.000,0.435,0.444,36.000,0.019,0.450,2.000,0.001,0.500,941.000,0.508,0.419,871.000,0.470,0.456,39.000,0.021,0.433,2.000,0.001,0.500,962.000,0.519,0.434,737.000,0.398,0.434,133.000,0.072,0.470,21.000,0.011,0.389,1052.000,0.568,0.425,744.000,0.402,0.448,49.000,0.026,0.458,8.000,0.004,0.667,1019.000,0.550,0.435,762.000,0.411,0.439,66.000,0.036,0.407,6.000,0.003,0.462,1221.000,0.659,0.435,606.000,0.327,0.439,23.000,0.012,0.434,3.000,0.002,0.300,1081.000,0.583,0.435,739.000,0.399,0.445,32.000,0.017,0.299,1.000,0.001,0.333,959.000,0.518,0.453,796.000,0.430,0.429,85.000,0.046,0.344,13.000,0.007,0.419
