Entidad,B2-A-Totalmente de acuerdo-Recuento,B2-A-Totalmente de acuerdo-% del N de fila,B2-A-Totalmente de acuerdo-% de N columnas,B2-A-De acuerdo-Recuento,B2-A-De acuerdo-% del N de fila,B2-A-De acuerdo-% de N columnas,B2-A-En desacuerdo-Recuento,B2-A-En desacuerdo-% del N de fila,B2-A-En desacuerdo-% de N columnas,B2-A-Totalmente en desacuerdo-Recuento,B2-A-Totalmente en desacuerdo-% del N de fila,B2-A-Totalmente en desacuerdo-% de N columnas,B2-B-Totalmente de acuerdo-Recuento,B2-B-Totalmente de acuerdo-% del N de fila,B2-B-Totalmente de acuerdo-% de N columnas,B2-B-De acuerdo-Recuento,B2-B-De acuerdo-% del N de fila,B2-B-De acuerdo-% de N columnas,B2-B-En desacuerdo-Recuento,B2-B-En desacuerdo-% del N de fila,B2-B-En desacuerdo-% de N columnas,B2-B-Totalmente en desacuerdo-Recuento,B2-B-Totalmente en desacuerdo-% del N de fila,B2-B-Totalmente en desacuerdo-% de N columnas,B2-C-Totalmente de acuerdo-Recuento,B2-C-Totalmente de acuerdo-% del N de fila,B2-C-Totalmente de acuerdo-% de N columnas,B2-C-De acuerdo-Recuento,B2-C-De acuerdo-% del N de fila,B2-C-De acuerdo-% de N columnas,B2-C-En desacuerdo-Recuento,B2-C-En desacuerdo-% del N de fila,B2-C-En desacuerdo-% de N columnas,B2-C-Totalmente en desacuerdo-Recuento,B2-C-Totalmente en desacuerdo-% del N de fila,B2-C-Totalmente en desacuerdo-% de N columnas,B2-D-Totalmente de acuerdo-Recuento,B2-D-Totalmente de acuerdo-% del N de fila,B2-D-Totalmente de acuerdo-% de N columnas,B2-D-De acuerdo-Recuento,B2-D-De acuerdo-% del N de fila,B2-D-De acuerdo-% de N columnas,B2-D-En desacuerdo-Recuento,B2-D-En desacuerdo-% del N de fila,B2-D-En desacuerdo-% de N columnas,B2-D-Totalmente en desacuerdo-Recuento,B2-D-Totalmente en desacuerdo-% del N de fila,B2-D-Totalmente en desacuerdo-% de N columnas,B2-E-Totalmente de acuerdo-Recuento,B2-E-Totalmente de acuerdo-% del N de fila,B2-E-Totalmente de acuerdo-% de N columnas,B2-E-Totalmente de acuerdo-Recuento,B2-E-Totalmente de acuerdo-% del N de fila,B2-E-Totalmente de acuerdo-% de N columnas,B2-E-En desacuerdo-Recuento,B2-E-En desacuerdo-% del N de fila,B2-E-En desacuerdo-% de N columnas,B2-E-Totalmente en desacuerdo-Recuento,B2-E-Totalmente en desacuerdo-% del N de fila,B2-E-Totalmente en desacuerdo-% de N columnas,B2-F-Totalmente de acuerdo-Recuento,B2-F-Totalmente de acuerdo-% del N de fila,B2-F-Totalmente de acuerdo-% de N columnas,B2-F-De acuerdo-Recuento,B2-F-De acuerdo-% del N de fila,B2-F-De acuerdo-% de N columnas,B2-F-En desacuerdo-Recuento,B2-F-En desacuerdo-% del N de fila,B2-F-En desacuerdo-% de N columnas,B2-F-Totalmente en desacuerdo-Recuento,B2-F-Totalmente en desacuerdo-% del N de fila,B2-F-Totalmente en desacuerdo-% de N columnas,B2-G-Totalmente de acuerdo-Recuento,B2-G-Totalmente de acuerdo-% del N de fila,B2-G-Totalmente de acuerdo-% de N columnas,B2-G-De acuerdo-Recuento,B2-G-De acuerdo-% del N de fila,B2-G-De acuerdo-% de N columnas,B2-G-En desacuerdo-Recuento,B2-G-En desacuerdo-% del N de fila,B2-G-En desacuerdo-% de N columnas,B2-G-Totalmente en desacuerdo-Recuento,B2-G-Totalmente en desacuerdo-% del N de fila,B2-G-Totalmente en desacuerdo-% de N columnas,B2-H-Totalmente de acuerdo-Recuento,B2-H-Totalmente de acuerdo-% del N de fila,B2-H-Totalmente de acuerdo-% de N columnas,B2-H-De acuerdo-Recuento,B2-H-De acuerdo-% del N de fila,B2-H-De acuerdo-% de N columnas,B2-H-En desacuerdo-Recuento,B2-H-En desacuerdo-% del N de fila,B2-H-En desacuerdo-% de N columnas,B2-H-Totalmente en desacuerdo-Recuento,B2-H-Totalmente en desacuerdo-% del N de fila,B2-H-Totalmente en desacuerdo-% de N columnas,B2-I-Totalmente de acuerdo-Recuento,B2-I-Totalmente de acuerdo-% del N de fila,B2-I-Totalmente de acuerdo-% de N columnas,B2-I-De acuerdo-Recuento,B2-I-De acuerdo-% del N de fila,B2-I-De acuerdo-% de N columnas,B2-I-En desacuerdo-Recuento,B2-I-En desacuerdo-% del N de fila,B2-I-En desacuerdo-% de N columnas,B2-I-Totalmente en desacuerdo-Recuento,B2-I-Totalmente en desacuerdo-% del N de fila,B2-I-Totalmente en desacuerdo-% de N columnas
ESTADO DE MÉXICO,654.00,0.56,0.04,500.00,0.42,0.04,20.00,0.02,0.04,4.00,0.00,0.06,624.00,0.53,0.04,514.00,0.44,0.04,32.00,0.03,0.05,8.00,0.01,0.11,631.00,0.54,0.04,521.00,0.44,0.04,22.00,0.02,0.05,4.00,0.00,0.09,545.00,0.46,0.04,584.00,0.50,0.04,43.00,0.04,0.04,6.00,0.01,0.07,596.00,0.51,0.04,538.00,0.46,0.04,38.00,0.03,0.07,6.00,0.01,0.09,533.00,0.45,0.04,598.00,0.51,0.04,41.00,0.04,0.05,6.00,0.01,0.09,564.00,0.48,0.04,569.00,0.48,0.04,38.00,0.03,0.04,7.00,0.01,0.06,570.00,0.48,0.04,569.00,0.48,0.04,33.00,0.03,0.04,6.00,0.01,0.07,583.00,0.50,0.04,549.00,0.47,0.04,41.00,0.04,0.06,5.00,0.00,0.08
GUANAJUATO,1011.00,0.59,0.06,661.00,0.39,0.05,32.00,0.02,0.06,1.00,0.00,0.01,967.00,0.57,0.06,701.00,0.41,0.06,34.00,0.02,0.06,3.00,0.00,0.04,930.00,0.55,0.06,744.00,0.44,0.06,31.00,0.02,0.07,0.00,0.00,0.00,837.00,0.49,0.06,781.00,0.46,0.05,84.00,0.05,0.07,3.00,0.00,0.03,968.00,0.57,0.06,701.00,0.41,0.05,36.00,0.02,0.06,0.00,0.00,0.00,800.00,0.47,0.06,859.00,0.50,0.06,44.00,0.03,0.05,2.00,0.00,0.03,869.00,0.51,0.06,784.00,0.46,0.05,50.00,0.03,0.06,2.00,0.00,0.02,852.00,0.50,0.06,810.00,0.48,0.05,41.00,0.02,0.06,2.00,0.00,0.02,868.00,0.51,0.06,798.00,0.47,0.06,37.00,0.02,0.05,2.00,0.00,0.03
GUERRERO,147.00,0.59,0.01,100.00,0.40,0.01,1.00,0.00,0.00,0.00,0.00,0.00,149.00,0.60,0.01,94.00,0.38,0.01,5.00,0.02,0.01,0.00,0.00,0.00,135.00,0.55,0.01,111.00,0.45,0.01,1.00,0.00,0.00,0.00,0.00,0.00,119.00,0.48,0.01,120.00,0.49,0.01,8.00,0.03,0.01,0.00,0.00,0.00,139.00,0.56,0.01,105.00,0.43,0.01,3.00,0.01,0.01,0.00,0.00,0.00,120.00,0.49,0.01,121.00,0.49,0.01,6.00,0.02,0.01,0.00,0.00,0.00,126.00,0.51,0.01,115.00,0.47,0.01,6.00,0.02,0.01,0.00,0.00,0.00,118.00,0.48,0.01,125.00,0.51,0.01,4.00,0.02,0.01,0.00,0.00,0.00,128.00,0.52,0.01,117.00,0.47,0.01,2.00,0.01,0.00,0.00,0.00,0.00
HIDALGO,636.00,0.61,0.04,399.00,0.38,0.03,9.00,0.01,0.02,3.00,0.00,0.04,590.00,0.56,0.04,438.00,0.42,0.03,17.00,0.02,0.03,2.00,0.00,0.03,598.00,0.57,0.04,439.00,0.42,0.03,8.00,0.01,0.02,2.00,0.00,0.04,535.00,0.51,0.04,482.00,0.46,0.03,26.00,0.03,0.02,4.00,0.00,0.04,588.00,0.56,0.04,450.00,0.43,0.03,7.00,0.01,0.01,2.00,0.00,0.03,490.00,0.47,0.04,533.00,0.51,0.03,23.00,0.02,0.03,1.00,0.00,0.01,540.00,0.52,0.04,481.00,0.46,0.03,21.00,0.02,0.02,5.00,0.01,0.04,551.00,0.53,0.04,476.00,0.46,0.03,16.00,0.02,0.02,4.00,0.00,0.05,562.00,0.54,0.04,462.00,0.44,0.03,21.00,0.02,0.03,2.00,0.00,0.03
JALISCO,724.00,0.58,0.04,513.00,0.41,0.04,20.00,0.02,0.04,1.00,0.00,0.01,695.00,0.55,0.04,531.00,0.42,0.04,28.00,0.02,0.05,4.00,0.00,0.06,651.00,0.52,0.04,589.00,0.47,0.04,16.00,0.01,0.04,2.00,0.00,0.04,564.00,0.45,0.04,623.00,0.50,0.04,66.00,0.05,0.06,5.00,0.00,0.05,670.00,0.53,0.04,562.00,0.45,0.04,22.00,0.02,0.04,4.00,0.00,0.06,541.00,0.43,0.04,666.00,0.53,0.04,47.00,0.04,0.05,4.00,0.00,0.06,502.00,0.40,0.04,636.00,0.51,0.04,97.00,0.08,0.11,23.00,0.02,0.20,535.00,0.43,0.04,681.00,0.54,0.05,37.00,0.03,0.05,5.00,0.00,0.06,595.00,0.47,0.04,631.00,0.50,0.04,29.00,0.02,0.04,3.00,0.00,0.05
MICHOACÁN,6.00,0.50,0.00,6.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.58,0.00,5.00,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.50,0.00,6.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.50,0.00,6.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.58,0.00,5.00,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.58,0.00,4.00,0.33,0.00,1.00,0.08,0.00,0.00,0.00,0.00,6.00,0.50,0.00,6.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.58,0.00,5.00,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.50,0.00,5.00,0.42,0.00,1.00,0.08,0.00,0.00,0.00,0.00
MORELOS,849.00,0.56,0.05,639.00,0.42,0.05,23.00,0.02,0.05,0.00,0.00,0.00,830.00,0.55,0.05,659.00,0.44,0.05,21.00,0.01,0.04,1.00,0.00,0.01,791.00,0.52,0.05,705.00,0.47,0.05,15.00,0.01,0.04,0.00,0.00,0.00,685.00,0.45,0.05,767.00,0.51,0.05,56.00,0.04,0.05,2.00,0.00,0.02,805.00,0.53,0.05,672.00,0.45,0.05,29.00,0.02,0.05,5.00,0.00,0.08,604.00,0.40,0.05,856.00,0.57,0.06,48.00,0.03,0.05,3.00,0.00,0.04,708.00,0.47,0.05,769.00,0.51,0.05,30.00,0.02,0.03,4.00,0.00,0.04,716.00,0.47,0.05,761.00,0.50,0.05,31.00,0.02,0.04,3.00,0.00,0.03,740.00,0.49,0.05,729.00,0.48,0.05,40.00,0.03,0.06,2.00,0.00,0.03
NAYARIT,376.00,0.58,0.02,261.00,0.40,0.02,8.00,0.01,0.02,2.00,0.00,0.03,378.00,0.58,0.02,263.00,0.41,0.02,6.00,0.01,0.01,0.00,0.00,0.00,345.00,0.53,0.02,296.00,0.46,0.02,6.00,0.01,0.01,0.00,0.00,0.00,329.00,0.51,0.02,292.00,0.45,0.02,25.00,0.04,0.02,1.00,0.00,0.01,382.00,0.59,0.02,259.00,0.40,0.02,5.00,0.01,0.01,1.00,0.00,0.02,309.00,0.48,0.02,315.00,0.49,0.02,22.00,0.03,0.02,1.00,0.00,0.01,330.00,0.51,0.02,299.00,0.46,0.02,17.00,0.03,0.02,1.00,0.00,0.01,306.00,0.47,0.02,325.00,0.50,0.02,13.00,0.02,0.02,3.00,0.01,0.03,341.00,0.53,0.02,297.00,0.46,0.02,8.00,0.01,0.01,1.00,0.00,0.02
NUEVO LEÓN,57.00,0.55,0.00,42.00,0.41,0.00,1.00,0.01,0.00,3.00,0.03,0.04,56.00,0.54,0.00,42.00,0.41,0.00,4.00,0.04,0.01,1.00,0.01,0.01,53.00,0.52,0.00,49.00,0.48,0.00,1.00,0.01,0.00,0.00,0.00,0.00,58.00,0.56,0.00,41.00,0.40,0.00,4.00,0.04,0.00,0.00,0.00,0.00,58.00,0.56,0.00,39.00,0.38,0.00,6.00,0.06,0.01,0.00,0.00,0.00,45.00,0.44,0.00,55.00,0.53,0.00,3.00,0.03,0.00,0.00,0.00,0.00,56.00,0.54,0.00,44.00,0.43,0.00,3.00,0.03,0.00,0.00,0.00,0.00,49.00,0.48,0.00,53.00,0.52,0.00,1.00,0.01,0.00,0.00,0.00,0.00,48.00,0.47,0.00,53.00,0.52,0.00,2.00,0.02,0.00,0.00,0.00,0.00
PUEBLA,476.00,0.53,0.03,393.00,0.44,0.03,19.00,0.02,0.04,3.00,0.00,0.04,459.00,0.52,0.03,411.00,0.46,0.03,19.00,0.02,0.03,2.00,0.00,0.03,441.00,0.50,0.03,432.00,0.49,0.03,17.00,0.02,0.04,1.00,0.00,0.02,402.00,0.45,0.03,446.00,0.50,0.03,41.00,0.05,0.04,2.00,0.00,0.02,469.00,0.53,0.03,406.00,0.46,0.03,15.00,0.02,0.03,1.00,0.00,0.02,355.00,0.40,0.03,499.00,0.56,0.03,33.00,0.04,0.04,4.00,0.00,0.06,389.00,0.44,0.03,470.00,0.53,0.03,27.00,0.03,0.03,5.00,0.01,0.04,381.00,0.43,0.03,492.00,0.55,0.03,16.00,0.02,0.02,2.00,0.00,0.02,400.00,0.45,0.03,457.00,0.51,0.03,31.00,0.04,0.04,3.00,0.00,0.05
